,ZERO_v3_started_ZERO_v3_won,ZERO_v5_started_ZERO_v3_won,ZERO_v3_started_Tie,ZERO_v5_started_Tie,ZERO_v3_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,17.0,,,,,
1,,,,,,9.0
2,,,,,,9.0
3,,,100.0,,,
4,,,,,,11.0
5,49.0,,,,,
6,,,,,,9.0
7,31.0,,,,,
8,,,,,26.0,
9,,,,,38.0,
10,,,,,26.0,
11,,,,,48.0,
12,,,,,,11.0
13,,,,,,13.0
14,,,,,,9.0
15,21.0,,,,,
16,,,,,44.0,
17,,,,,,9.0
18,,,,,,17.0
19,,,,,,13.0
20,,,,,26.0,
21,,,,,58.0,
22,21.0,,,,,
23,,,,,,13.0
24,,,,,,11.0
25,,,,,26.0,
26,23.0,,,,,
27,31.0,,,,,
28,39.0,,,,,
29,,,,,,9.0
30,13.0,,,,,
31,,,,,,9.0
32,,,,,,11.0
33,21.0,,,,,
34,,,,,,9.0
35,,,,,,11.0
36,,,,,,9.0
37,,,,,,13.0
38,,,,,26.0,
39,,,,,,9.0
40,11.0,,,,,
41,,,,,,9.0
42,,,,,,11.0
43,25.0,,,,,
44,,,,,,11.0
45,,,,,50.0,
46,33.0,,,,,
47,,,,,,11.0
48,21.0,,,,,
49,,,,,,11.0
