,FLAT_v1_started_FLAT_v1_won,UCT_4000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_4000_started_Tie,FLAT_v1_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,10.0,,,,
1,,,,,,15.0
2,,,,,,15.0
3,17.0,,,,,
4,9.0,,,,,
5,,,,,20.0,
6,9.0,,,,,
7,,12.0,,,,
8,9.0,,,,,
9,,10.0,,,,
10,9.0,,,,,
11,9.0,,,,,
12,9.0,,,,,
13,9.0,,,,,
14,,10.0,,,,
15,,,,,,13.0
16,,,,,,11.0
17,,,,,,9.0
18,,,,,,19.0
19,11.0,,,,,
20,,,,,12.0,
21,9.0,,,,,
22,,,,,10.0,
23,9.0,,,,,
24,9.0,,,,,
25,,,,,20.0,
26,,,,,16.0,
27,,10.0,,,,
28,15.0,,,,,
29,,,,,,9.0
30,,10.0,,,,
31,17.0,,,,,
32,15.0,,,,,
33,,,,,,19.0
34,9.0,,,,,
35,,10.0,,,,
36,,,,,,19.0
37,,,,,,15.0
38,9.0,,,,,
39,,,,,,15.0
40,,,,,14.0,
41,,,,,,9.0
42,,,,,12.0,
43,,,,,16.0,
44,9.0,,,,,
45,,,,,12.0,
46,,,,,,9.0
47,,,,,,13.0
48,,,,,16.0,
49,,,,,,15.0
