,ZEROX_v3_started_ZEROX_v3_won,UCT_10000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_10000_started_Tie,ZEROX_v3_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,,,,,,9.0
1,9.0,,,,,
2,15.0,,,,,
3,9.0,,,,,
4,15.0,,,,,
5,,,,,,11.0
6,,,,,22.0,
7,,,,,,15.0
8,9.0,,,,,
9,,,,,,9.0
10,,,,,12.0,
11,9.0,,,,,
12,,,,,10.0,
13,,,,,12.0,
14,9.0,,,,,
15,,,,,16.0,
16,,,,,,9.0
17,,,,,,11.0
18,,,,,20.0,
19,,,,,,9.0
20,9.0,,,,,
21,,,,,14.0,
22,,,,,22.0,
23,,,,,,9.0
24,15.0,,,,,
25,,,,,14.0,
26,,,,,,11.0
27,,,,,18.0,
28,9.0,,,,,
29,,,,,16.0,
30,9.0,,,,,
31,,10.0,,,,
32,,,,,12.0,
33,,,,,,9.0
34,,,,,,9.0
35,15.0,,,,,
36,,,,,,9.0
37,9.0,,,,,
38,,,,,,15.0
39,,,,,,9.0
40,,,,,,11.0
41,,,,,16.0,
42,,,,,,11.0
43,,,,,12.0,
44,,,,,,9.0
45,23.0,,,,,
46,,,,,22.0,
47,,10.0,,,,
48,15.0,,,,,
49,,,,,26.0,
