,FLAT_v3_started_FLAT_v3_won,UCT_2000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_2000_started_Tie,FLAT_v3_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,10.0,,,,
1,15.0,,,,,
2,9.0,,,,,
3,9.0,,,,,
4,9.0,,,,,
5,,12.0,,,,
6,,12.0,,,,
7,9.0,,,,,
8,11.0,,,,,
9,11.0,,,,,
10,,16.0,,,,
11,,16.0,,,,
12,,16.0,,,,
13,9.0,,,,,
14,,10.0,,,,
15,9.0,,,,,
16,,10.0,,,,
17,,,,,,15.0
18,,10.0,,,,
19,9.0,,,,,
20,,10.0,,,,
21,,10.0,,,,
22,,,,,,13.0
23,9.0,,,,,
24,9.0,,,,,
25,9.0,,,,,
26,,10.0,,,,
27,,,,,,15.0
28,9.0,,,,,
29,,10.0,,,,
30,9.0,,,,,
31,,10.0,,,,
32,9.0,,,,,
33,17.0,,,,,
34,9.0,,,,,
35,9.0,,,,,
36,,10.0,,,,
37,,12.0,,,,
38,9.0,,,,,
39,,14.0,,,,
40,,14.0,,,,
41,,10.0,,,,
42,9.0,,,,,
43,,,,,14.0,
44,9.0,,,,,
45,,10.0,,,,
46,,,,,,9.0
47,,24.0,,,,
48,9.0,,,,,
49,15.0,,,,,
