,FLAT_v3_started_FLAT_v3_won,ZEROX_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZEROX_v3_started_Tie,FLAT_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,,53.0
1,,,,,34.0,
2,,,,,,19.0
3,,,,,,13.0
4,,,,,46.0,
5,,,,,44.0,
6,,,,,,11.0
7,,,,,,29.0
8,,,,,50.0,
9,,,,,,33.0
10,,,,,,31.0
11,,,,,42.0,
12,,,,,44.0,
13,,,,,,11.0
14,,,,,,31.0
15,37.0,,,,,
16,,,,,,11.0
17,,,,,46.0,
18,,,,,30.0,
19,,,,,,17.0
20,,,,,36.0,
21,,,,,,45.0
22,,,,,,53.0
23,,,,,,19.0
24,,,,,,11.0
25,,,,,24.0,
26,,,,,58.0,
27,,,,,,21.0
28,,,,,,9.0
29,,,,,,41.0
30,,,,,24.0,
31,,,,,,11.0
32,,44.0,,,,
33,,,,,50.0,
34,,,,,32.0,
35,,,,,28.0,
36,,,,,,11.0
37,,,,,,21.0
38,,,,,42.0,
39,,,,,34.0,
40,,,,,54.0,
41,,,,,,25.0
42,,,,,,11.0
43,,,,,34.0,
44,,,,,,35.0
45,,,,,,17.0
46,,,,,,15.0
47,,,,,,45.0
48,,,,,28.0,
49,,,,,,33.0
