,ZERO_v4_started_ZERO_v4_won,ZERO_v5_started_ZERO_v4_won,ZERO_v4_started_Tie,ZERO_v5_started_Tie,ZERO_v4_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,19.0,,,,,
1,35.0,,,,,
2,,,,,,11.0
3,11.0,,,,,
4,33.0,,,,,
5,,,,,,13.0
6,25.0,,,,,
7,13.0,,,,,
8,31.0,,,,,
9,41.0,,,,,
10,,,,,42.0,
11,,,,,,15.0
12,11.0,,,,,
13,,,,,,11.0
14,,,,,,25.0
15,25.0,,,,,
16,35.0,,,,,
17,,,,,28.0,
18,,,,,,23.0
19,43.0,,,,,
20,,,,,,25.0
21,,,,,,15.0
22,17.0,,,,,
23,29.0,,,,,
24,,,,,,9.0
25,17.0,,,,,
26,,,,,,21.0
27,,,,,,9.0
28,29.0,,,,,
29,,,,,,11.0
30,27.0,,,,,
31,13.0,,,,,
32,,,,,,31.0
33,,,,,,17.0
34,29.0,,,,,
35,27.0,,,,,
36,,,,,,13.0
37,,,,,,11.0
38,,,,,,13.0
39,,,,,,9.0
40,27.0,,,,,
41,,,,,,11.0
42,,,,,,21.0
43,27.0,,,,,
44,21.0,,,,,
45,9.0,,,,,
46,17.0,,,,,
47,21.0,,,,,
48,,,,,,11.0
49,11.0,,,,,
