,FLAT_v4_started_FLAT_v4_won,UCT_4000_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_4000_started_Tie,FLAT_v4_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,,9.0
1,21.0,,,,,
2,,,,,,9.0
3,,,,,,11.0
4,11.0,,,,,
5,9.0,,,,,
6,,,,,,9.0
7,,10.0,,,,
8,,,,,,13.0
9,,,,,,13.0
10,,10.0,,,,
11,,,,,,13.0
12,15.0,,,,,
13,,10.0,,,,
14,,,,,,23.0
15,,10.0,,,,
16,11.0,,,,,
17,11.0,,,,,
18,,,,,,11.0
19,,10.0,,,,
20,,10.0,,,,
21,11.0,,,,,
22,11.0,,,,,
23,,,,,20.0,
24,,,,,,15.0
25,,,,,,25.0
26,,10.0,,,,
27,,,,,,23.0
28,,,,,22.0,
29,,,,,16.0,
30,,14.0,,,,
31,,10.0,,,,
32,,,,,,19.0
33,,10.0,,,,
34,,,,,10.0,
35,,,,,,25.0
36,,10.0,,,,
37,,,,,16.0,
38,,,,,,21.0
39,,10.0,,,,
40,11.0,,,,,
41,11.0,,,,,
42,,,,,,17.0
43,,,,,,25.0
44,,,,,,13.0
45,9.0,,,,,
46,,10.0,,,,
47,11.0,,,,,
48,,10.0,,,,
49,,10.0,,,,
