,FLAT_v1_started_FLAT_v1_won,ZEROX_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZEROX_v1_started_Tie,FLAT_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,,,,,69.0
1,,,,,,13.0
2,,,,,,39.0
3,,,,,24.0,
4,15.0,,,,,
5,,,,,,33.0
6,,,,,42.0,
7,,,,,26.0,
8,15.0,,,,,
9,,,,,,17.0
10,,,,,16.0,
11,,,,,48.0,
12,,,,,,15.0
13,,,,,,25.0
14,,,,,48.0,
15,,,,,,25.0
16,,,,,40.0,
17,,,,,,35.0
18,13.0,,,,,
19,,,,,,11.0
20,,,,,40.0,
21,,,,,,35.0
22,,,,,,15.0
23,,,,,52.0,
24,,,,,,41.0
25,,,,,20.0,
26,25.0,,,,,
27,,,,,,41.0
28,,,,,,25.0
29,,,,,,37.0
30,,,,,26.0,
31,25.0,,,,,
32,,,,,42.0,
33,,,,,,37.0
34,,,,,,15.0
35,,,,,,19.0
36,,,,,60.0,
37,19.0,,,,,
38,,,,,,35.0
39,,,,,22.0,
40,17.0,,,,,
41,,,,,,31.0
42,,,,,40.0,
43,15.0,,,,,
44,,,,,,41.0
45,,,,,,35.0
46,,,,,32.0,
47,21.0,,,,,
48,,,,,,27.0
49,,,,,48.0,
