,ZERO_v2_started_ZERO_v2_won,UCT_8000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_8000_started_Tie,ZERO_v2_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,,,,,18.0,
1,,,,,14.0,
2,9.0,,,,,
3,,,,,14.0,
4,,,,,,11.0
5,,,,,,9.0
6,9.0,,,,,
7,,,,,12.0,
8,,,,,18.0,
9,,,,,,15.0
10,,,,,,9.0
11,,,,,,9.0
12,,,,,,13.0
13,,,,,20.0,
14,,,,,,13.0
15,,,,,,11.0
16,,,,,,11.0
17,,,,,14.0,
18,,,,,14.0,
19,,,,,,15.0
20,,,,,,9.0
21,,,,,22.0,
22,19.0,,,,,
23,,,,,16.0,
24,,,,,,11.0
25,,,,,,15.0
26,9.0,,,,,
27,,,,,,11.0
28,13.0,,,,,
29,,,,,14.0,
30,,,,,12.0,
31,,,,,16.0,
32,,,,,16.0,
33,,,,,10.0,
34,,,,,,9.0
35,,,,,14.0,
36,15.0,,,,,
37,,,,,14.0,
38,,10.0,,,,
39,,,,,,21.0
40,,,,,,13.0
41,9.0,,,,,
42,,,,,26.0,
43,9.0,,,,,
44,,,,,,9.0
45,,10.0,,,,
46,,,,,,9.0
47,,,,,,17.0
48,,,,,,9.0
49,9.0,,,,,
