,ZERO_v4_started_ZERO_v4_won,UCT_8000_started_ZERO_v4_won,ZERO_v4_started_Tie,UCT_8000_started_Tie,ZERO_v4_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,,12.0,,,,
1,,10.0,,,,
2,,,,,,9.0
3,,,,,10.0,
4,,,,,,25.0
5,,,,,14.0,
6,,,,,,15.0
7,,,,,,21.0
8,11.0,,,,,
9,,,,,,13.0
10,,,,,,23.0
11,,,,,16.0,
12,13.0,,,,,
13,,,,,,11.0
14,,,,,10.0,
15,,,,,10.0,
16,11.0,,,,,
17,,10.0,,,,
18,,,,,,11.0
19,,12.0,,,,
20,,,,,28.0,
21,15.0,,,,,
22,,10.0,,,,
23,15.0,,,,,
24,,,,,,23.0
25,15.0,,,,,
26,11.0,,,,,
27,,,,,14.0,
28,,,,,,11.0
29,11.0,,,,,
30,15.0,,,,,
31,,,,,10.0,
32,,,,,,23.0
33,,14.0,,,,
34,,,,,,15.0
35,,,,,,13.0
36,,,,,,9.0
37,,,,,12.0,
38,,,,,,13.0
39,,10.0,,,,
40,,,,,,19.0
41,,,,,,15.0
42,,,,,10.0,
43,,,,,18.0,
44,,,,,10.0,
45,,,,,,19.0
46,,,,,,21.0
47,,,,,,19.0
48,23.0,,,,,
49,,,,,,9.0
