,ZEROX_v2_started_ZEROX_v2_won,UCT_4000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_4000_started_Tie,ZEROX_v2_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,,19.0
1,9.0,,,,,
2,,,,,,17.0
3,,,,,24.0,
4,,,,,,23.0
5,9.0,,,,,
6,,,,,,11.0
7,,14.0,,,,
8,,,,,,13.0
9,,,,,14.0,
10,9.0,,,,,
11,,,,,,15.0
12,27.0,,,,,
13,,12.0,,,,
14,,,,,,19.0
15,9.0,,,,,
16,17.0,,,,,
17,17.0,,,,,
18,,,,,,13.0
19,,,,,,9.0
20,,,,,,19.0
21,,,,,,11.0
22,,10.0,,,,
23,9.0,,,,,
24,9.0,,,,,
25,,,,,16.0,
26,,,,,,9.0
27,15.0,,,,,
28,,12.0,,,,
29,,,,,,13.0
30,9.0,,,,,
31,,10.0,,,,
32,,,,,,9.0
33,9.0,,,,,
34,,,,,,11.0
35,9.0,,,,,
36,,,,,,11.0
37,,,,,18.0,
38,,,,,,9.0
39,9.0,,,,,
40,9.0,,,,,
41,21.0,,,,,
42,,,,,,11.0
43,,,,,14.0,
44,,12.0,,,,
45,9.0,,,,,
46,,,,,18.0,
47,,,,,18.0,
48,23.0,,,,,
49,,16.0,,,,
