,ZERO_v1_started_ZERO_v1_won,ZEROX_v1_started_ZERO_v1_won,ZERO_v1_started_Tie,ZEROX_v1_started_Tie,ZERO_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,,,,,23.0
1,,,,,,29.0
2,,,,,,27.0
3,,30.0,,,,
4,,,,,,23.0
5,,24.0,,,,
6,27.0,,,,,
7,,,,,,29.0
8,,,,,,29.0
9,,,,,30.0,
10,,,,,42.0,
11,,,,,,19.0
12,23.0,,,,,
13,,,,,34.0,
14,,22.0,,,,
15,23.0,,,,,
16,25.0,,,,,
17,39.0,,,,,
18,27.0,,,,,
19,,,,,,29.0
20,29.0,,,,,
21,,,,,,13.0
22,,,,,,39.0
23,27.0,,,,,
24,,34.0,,,,
25,21.0,,,,,
26,,,,,18.0,
27,,,,,,27.0
28,,,,,22.0,
29,21.0,,,,,
30,,,,,,13.0
31,19.0,,,,,
32,,,,,36.0,
33,33.0,,,,,
34,,28.0,,,,
35,13.0,,,,,
36,,,,,44.0,
37,,,,,26.0,
38,29.0,,,,,
39,,,,,30.0,
40,,,,,,21.0
41,,12.0,,,,
42,29.0,,,,,
43,,,,,,23.0
44,,20.0,,,,
45,,,,,,13.0
46,,32.0,,,,
47,,18.0,,,,
48,,20.0,,,,
49,,,,,30.0,
