,FLAT_v4_started_FLAT_v4_won,ZEROX_v4_started_FLAT_v4_won,FLAT_v4_started_Tie,ZEROX_v4_started_Tie,FLAT_v4_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,15.0
1,35.0,,,,,
2,,,,,,17.0
3,,,,,36.0,
4,,,,,,15.0
5,13.0,,,,,
6,,,,,32.0,
7,27.0,,,,,
8,,,,,20.0,
9,13.0,,,,,
10,,,,,24.0,
11,27.0,,,,,
12,,,,,18.0,
13,,,,,,21.0
14,,,,,,19.0
15,,,,,,41.0
16,,,,,,45.0
17,,,,,,27.0
18,,,,,22.0,
19,,,,,,75.0
20,33.0,,,,,
21,,,,,,23.0
22,,,,,,33.0
23,,,,,28.0,
24,33.0,,,,,
25,,,,,34.0,
26,25.0,,,,,
27,,,,,48.0,
28,,,,,,23.0
29,,,,,,13.0
30,13.0,,,,,
31,,,,,,19.0
32,45.0,,,,,
33,15.0,,,,,
34,,,,,,27.0
35,17.0,,,,,
36,25.0,,,,,
37,,,,,,15.0
38,,,,,,17.0
39,27.0,,,,,
40,,,,,,13.0
41,25.0,,,,,
42,,,,,28.0,
43,,,,,10.0,
44,,,,,12.0,
45,,,,,,13.0
46,15.0,,,,,
47,9.0,,,,,
48,13.0,,,,,
49,,,,,12.0,
