,ZEROX_v2_started_ZEROX_v2_won,UCT_6000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_6000_started_Tie,ZEROX_v2_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,9.0,,,,,
1,,,,,,11.0
2,15.0,,,,,
3,,,,,12.0,
4,9.0,,,,,
5,9.0,,,,,
6,15.0,,,,,
7,,,,,,11.0
8,9.0,,,,,
9,9.0,,,,,
10,,,,,,13.0
11,,,,,,13.0
12,9.0,,,,,
13,,,,,20.0,
14,,,,,14.0,
15,9.0,,,,,
16,,,,,,9.0
17,,,,,,13.0
18,9.0,,,,,
19,,,,,,15.0
20,9.0,,,,,
21,,,,,,15.0
22,15.0,,,,,
23,,,,,,13.0
24,9.0,,,,,
25,9.0,,,,,
26,9.0,,,,,
27,,,,,,9.0
28,,,,,14.0,
29,9.0,,,,,
30,,,,,,13.0
31,,,,,,15.0
32,13.0,,,,,
33,9.0,,,,,
34,,,,,16.0,
35,,,,,20.0,
36,,,,,16.0,
37,,,,,,9.0
38,,,,,,9.0
39,,,,,,9.0
40,,,,,16.0,
41,,,,,18.0,
42,,,,,20.0,
43,,,,,32.0,
44,,,,,,9.0
45,,,,,,9.0
46,,,,,12.0,
47,,14.0,,,,
48,,,,,14.0,
49,,,,,,13.0
