,FLAT_v4_started_FLAT_v4_won,UCT_8000_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_8000_started_Tie,FLAT_v4_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,15.0,,,,,
1,,,,,,9.0
2,,,,,,11.0
3,,10.0,,,,
4,,,,,,19.0
5,11.0,,,,,
6,,,,,,15.0
7,,10.0,,,,
8,,,,,14.0,
9,,12.0,,,,
10,,,,,,17.0
11,,,,,10.0,
12,,,,,,15.0
13,,10.0,,,,
14,,,,,,9.0
15,,,,,12.0,
16,,,,,20.0,
17,,,,,14.0,
18,,,,,26.0,
19,,,,,22.0,
20,,10.0,,,,
21,,,,,,13.0
22,,,,,12.0,
23,,,,,16.0,
24,,,,,22.0,
25,,,,,20.0,
26,,,,,,15.0
27,,10.0,,,,
28,,,,,,15.0
29,,,,,32.0,
30,11.0,,,,,
31,,,,,16.0,
32,,,,,,9.0
33,,,,,,9.0
34,9.0,,,,,
35,,10.0,,,,
36,13.0,,,,,
37,,,,,12.0,
38,,,,,14.0,
39,,,,,10.0,
40,9.0,,,,,
41,11.0,,,,,
42,,,,,,9.0
43,,,,,14.0,
44,,10.0,,,,
45,,,,,,9.0
46,,,,,,15.0
47,,,,,10.0,
48,,,,,10.0,
49,,,,,12.0,
