,FLAT_v2_started_FLAT_v2_won,UCT_4000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_4000_started_Tie,FLAT_v2_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,25.0,,,,,
1,,,,,,13.0
2,,,,,,9.0
3,,,,,,9.0
4,,16.0,,,,
5,9.0,,,,,
6,,,,,,23.0
7,9.0,,,,,
8,,16.0,,,,
9,15.0,,,,,
10,,,,,14.0,
11,9.0,,,,,
12,9.0,,,,,
13,15.0,,,,,
14,17.0,,,,,
15,9.0,,,,,
16,9.0,,,,,
17,,,,,,9.0
18,,,,,,21.0
19,9.0,,,,,
20,,,,,20.0,
21,,,,,12.0,
22,,,,,14.0,
23,9.0,,,,,
24,,,,,,9.0
25,9.0,,,,,
26,,,,,12.0,
27,9.0,,,,,
28,,,,,,9.0
29,,,,,,21.0
30,,,,,18.0,
31,9.0,,,,,
32,,,,,,13.0
33,,10.0,,,,
34,9.0,,,,,
35,9.0,,,,,
36,,,,,,9.0
37,,,,,20.0,
38,,,,,,13.0
39,,10.0,,,,
40,,,,,,9.0
41,,,,,,9.0
42,9.0,,,,,
43,,10.0,,,,
44,9.0,,,,,
45,,,,,,15.0
46,,10.0,,,,
47,,,,,,15.0
48,9.0,,,,,
49,,,,,22.0,
