,ZERO_started_ZERO_won,UCT_2000_started_ZERO_won,ZERO_started_Tie,UCT_2000_started_Tie,ZERO_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,12.0,,,,
1,,12.0,,,,
2,,20.0,,,,
3,,14.0,,,,
4,9.0,,,,,
5,9.0,,,,,
6,,,,,,21.0
7,9.0,,,,,
8,,14.0,,,,
9,,10.0,,,,
10,9.0,,,,,
11,,38.0,,,,
12,9.0,,,,,
13,,10.0,,,,
14,9.0,,,,,
15,,12.0,,,,
16,,10.0,,,,
17,,18.0,,,,
18,9.0,,,,,
19,,10.0,,,,
20,9.0,,,,,
21,,10.0,,,,
22,,,,,,71.0
23,21.0,,,,,
24,15.0,,,,,
25,9.0,,,,,
26,,14.0,,,,
27,,,,,,17.0
28,,,,,,25.0
29,9.0,,,,,
30,9.0,,,,,
31,,12.0,,,,
32,15.0,,,,,
33,,10.0,,,,
34,9.0,,,,,
35,,10.0,,,,
36,9.0,,,,,
37,9.0,,,,,
38,,16.0,,,,
39,,12.0,,,,
40,,12.0,,,,
41,9.0,,,,,
42,,14.0,,,,
43,,10.0,,,,
44,9.0,,,,,
45,,10.0,,,,
46,9.0,,,,,
47,9.0,,,,,
48,15.0,,,,,
49,9.0,,,,,
