,FLAT_v4_started_FLAT_v4_won,ZERO_v4_started_FLAT_v4_won,FLAT_v4_started_Tie,ZERO_v4_started_Tie,FLAT_v4_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,,45.0
1,25.0,,,,,
2,29.0,,,,,
3,,,,,,27.0
4,,,,,,13.0
5,11.0,,,,,
6,,,,,34.0,
7,,,,,,31.0
8,19.0,,,,,
9,15.0,,,,,
10,,,,,,13.0
11,,,,,,15.0
12,,,,,,17.0
13,,,,,,17.0
14,,,,,,17.0
15,,,,,,21.0
16,,,,,18.0,
17,,,,,20.0,
18,41.0,,,,,
19,,,,,,21.0
20,,,,,24.0,
21,17.0,,,,,
22,,,,,,23.0
23,,,,,36.0,
24,,,,,,33.0
25,47.0,,,,,
26,,,,,,17.0
27,,,,,26.0,
28,,,,,,15.0
29,13.0,,,,,
30,,,,,,11.0
31,,,,,22.0,
32,,,,,26.0,
33,,,,,,9.0
34,15.0,,,,,
35,,,,,18.0,
36,,,,,,27.0
37,,,,,10.0,
38,,,,,,25.0
39,,,,,,13.0
40,13.0,,,,,
41,19.0,,,,,
42,11.0,,,,,
43,59.0,,,,,
44,25.0,,,,,
45,,,,,,13.0
46,23.0,,,,,
47,,,,,,13.0
48,,,,,,17.0
49,13.0,,,,,
