,ZERO_v1_started_ZERO_v1_won,ZERO_v3_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v3_started_Tie,ZERO_v1_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,22.0,
1,,,,,12.0,
2,,,,,20.0,
3,21.0,,,,,
4,,,,,10.0,
5,,,,,,19.0
6,,,,,,17.0
7,,,,,,11.0
8,,,,,14.0,
9,27.0,,,,,
10,,,,,16.0,
11,,,,,,9.0
12,,,,,,19.0
13,,,,,,11.0
14,,,,,24.0,
15,,,,,,17.0
16,,,,,12.0,
17,21.0,,,,,
18,,,,,10.0,
19,29.0,,,,,
20,,,,,,17.0
21,,,,,,11.0
22,29.0,,,,,
23,,,,,28.0,
24,,,,,,15.0
25,,,,,,27.0
26,,,,,,11.0
27,,,,,18.0,
28,,,,,,15.0
29,,,,,,19.0
30,,,,,18.0,
31,,,,,,13.0
32,,,,,,11.0
33,,,,,,9.0
34,,,,,,9.0
35,,,,,10.0,
36,,,,,18.0,
37,,,,,,11.0
38,,,,,22.0,
39,19.0,,,,,
40,,,,,,21.0
41,,,,,12.0,
42,,,,,,13.0
43,,,,,12.0,
44,,,,,,29.0
45,15.0,,,,,
46,23.0,,,,,
47,,,,,,49.0
48,35.0,,,,,
49,,,,,,15.0
