,ZEROX_v3_started_ZEROX_v3_won,ZEROX_v4_started_ZEROX_v3_won,ZEROX_v3_started_Tie,ZEROX_v4_started_Tie,ZEROX_v3_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,29.0
1,23.0,,,,,
2,,,,,,31.0
3,25.0,,,,,
4,,,,,,27.0
5,,,,,,25.0
6,,24.0,,,,
7,,,,,,29.0
8,23.0,,,,,
9,,,,,,39.0
10,9.0,,,,,
11,,,,,,27.0
12,,,,,,25.0
13,27.0,,,,,
14,35.0,,,,,
15,,,,,,15.0
16,11.0,,,,,
17,,,,,32.0,
18,15.0,,,,,
19,,,,,32.0,
20,23.0,,,,,
21,,,,,,29.0
22,11.0,,,,,
23,,,,,46.0,
24,39.0,,,,,
25,21.0,,,,,
26,,,,,,19.0
27,21.0,,,,,
28,37.0,,,,,
29,21.0,,,,,
30,,,,,,21.0
31,,,,,,21.0
32,9.0,,,,,
33,,,,,,17.0
34,27.0,,,,,
35,9.0,,,,,
36,15.0,,,,,
37,,,,,,21.0
38,,,,,,33.0
39,29.0,,,,,
40,,,,,,19.0
41,,,,,,27.0
42,19.0,,,,,
43,27.0,,,,,
44,29.0,,,,,
45,,,,,,37.0
46,17.0,,,,,
47,,,,,,23.0
48,11.0,,,,,
49,9.0,,,,,
