,ZEROX_v5_started_ZEROX_v5_won,UCT_8000_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_8000_started_Tie,ZEROX_v5_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,9.0,,,,,
1,,,,,14.0,
2,,,,,,19.0
3,,,,,,25.0
4,,,,,14.0,
5,,,,,,17.0
6,,,,,14.0,
7,,12.0,,,,
8,,,,,20.0,
9,,,,,,23.0
10,,,,,12.0,
11,,10.0,,,,
12,9.0,,,,,
13,,14.0,,,,
14,19.0,,,,,
15,,,,,16.0,
16,,,,,,29.0
17,9.0,,,,,
18,15.0,,,,,
19,9.0,,,,,
20,,24.0,,,,
21,,,,,16.0,
22,15.0,,,,,
23,,,,,,17.0
24,,,,,14.0,
25,9.0,,,,,
26,,,,,14.0,
27,9.0,,,,,
28,,,,,14.0,
29,,,,,14.0,
30,,,,,18.0,
31,,,,,,39.0
32,,,,,14.0,
33,,,,,,19.0
34,,,,,16.0,
35,9.0,,,,,
36,15.0,,,,,
37,,38.0,,,,
38,9.0,,,,,
39,,,,,18.0,
40,,,,,,19.0
41,9.0,,,,,
42,9.0,,,,,
43,,,,,16.0,
44,9.0,,,,,
45,9.0,,,,,
46,,,,,,17.0
47,,,,,12.0,
48,,,,,,9.0
49,9.0,,,,,
