,ZERO_v5_started_ZERO_v5_won,UCT_8000_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_8000_started_Tie,ZERO_v5_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,9.0,,,,,
1,,28.0,,,,
2,9.0,,,,,
3,,,,,18.0,
4,,,,,,37.0
5,,,,,16.0,
6,,,,,16.0,
7,15.0,,,,,
8,,,,,,11.0
9,9.0,,,,,
10,,,,,,17.0
11,,,,,,19.0
12,,,,,,21.0
13,,,,,,23.0
14,9.0,,,,,
15,,,,,16.0,
16,,,,,14.0,
17,,,,,16.0,
18,,,,,,15.0
19,,18.0,,,,
20,,16.0,,,,
21,,,,,14.0,
22,,,,,,15.0
23,,,,,14.0,
24,,,,,,19.0
25,39.0,,,,,
26,,,,,14.0,
27,,10.0,,,,
28,,,,,,13.0
29,15.0,,,,,
30,23.0,,,,,
31,,,,,,29.0
32,9.0,,,,,
33,,,,,16.0,
34,,,,,,17.0
35,,,,,22.0,
36,,,,,12.0,
37,21.0,,,,,
38,,,,,18.0,
39,9.0,,,,,
40,,,,,20.0,
41,,,,,,33.0
42,,,,,,11.0
43,,,,,,23.0
44,,10.0,,,,
45,,,,,,9.0
46,,,,,20.0,
47,,,,,,15.0
48,,,,,,29.0
49,9.0,,,,,
