,FLAT_v1_started_FLAT_v1_won,FLAT_v2_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v2_started_Tie,FLAT_v1_started_FLAT_v2_won,FLAT_v2_started_FLAT_v2_won
0,,24.0,,,,
1,31.0,,,,,
2,27.0,,,,,
3,,20.0,,,,
4,,,,,,21.0
5,,,,,24.0,
6,19.0,,,,,
7,,22.0,,,,
8,,,,,,25.0
9,,,,,,29.0
10,,,,,,21.0
11,13.0,,,,,
12,,,,,16.0,
13,,42.0,,,,
14,,,,,,33.0
15,,,,,,17.0
16,,,,,,49.0
17,,,,,26.0,
18,,,,,28.0,
19,,16.0,,,,
20,,,,,,15.0
21,,,,,,35.0
22,,,,,18.0,
23,,,,,,19.0
24,,,,,,21.0
25,,,,,12.0,
26,,,,,,17.0
27,,26.0,,,,
28,,,,,,29.0
29,,40.0,,,,
30,,,,,18.0,
31,,,,,18.0,
32,,,,,12.0,
33,,,,,,15.0
34,,,,,22.0,
35,19.0,,,,,
36,,,,,,31.0
37,,,,,26.0,
38,,,,,,31.0
39,,,,,,21.0
40,,,,,,9.0
41,,,,,,43.0
42,,64.0,,,,
43,,36.0,,,,
44,,16.0,,,,
45,,44.0,,,,
46,,,,,16.0,
47,,,,,30.0,
48,,,,,,21.0
49,,,,,14.0,
