,ZERO_v5_started_ZERO_v5_won,UCT_10000_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_10000_started_Tie,ZERO_v5_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,,22.0,,,,
1,9.0,,,,,
2,,,,,,11.0
3,9.0,,,,,
4,17.0,,,,,
5,,,,,,21.0
6,,12.0,,,,
7,,,,,14.0,
8,,26.0,,,,
9,,,,,14.0,
10,,10.0,,,,
11,9.0,,,,,
12,,,,,,21.0
13,,,,,18.0,
14,,,,,24.0,
15,,,,,,17.0
16,19.0,,,,,
17,9.0,,,,,
18,9.0,,,,,
19,,,,,,17.0
20,,,,,14.0,
21,,12.0,,,,
22,,,,,16.0,
23,,,,,,23.0
24,,10.0,,,,
25,,,,,20.0,
26,,,,,,19.0
27,15.0,,,,,
28,,,,,,19.0
29,,10.0,,,,
30,,,,,,21.0
31,,,,,,11.0
32,,,,,,17.0
33,,,,,14.0,
34,,,,,,13.0
35,,14.0,,,,
36,,,,,16.0,
37,,,,,,23.0
38,,,,,,23.0
39,9.0,,,,,
40,,,,,,17.0
41,,,,,,21.0
42,,,,,18.0,
43,,12.0,,,,
44,,,,,,21.0
45,,,,,14.0,
46,23.0,,,,,
47,,,,,,23.0
48,,,,,,19.0
49,,,,,,13.0
