,ZERO_v1_started_ZERO_v1_won,UCT_4000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_4000_started_Tie,ZERO_v1_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,12.0,
1,,,,,,19.0
2,,,,,10.0,
3,,,,,,11.0
4,,,,,12.0,
5,,,,,,21.0
6,,10.0,,,,
7,11.0,,,,,
8,,,,,14.0,
9,,10.0,,,,
10,,,,,,17.0
11,,,,,16.0,
12,,10.0,,,,
13,13.0,,,,,
14,,,,,,15.0
15,25.0,,,,,
16,,,,,,17.0
17,13.0,,,,,
18,,,,,,9.0
19,,10.0,,,,
20,,,,,20.0,
21,17.0,,,,,
22,,,,,,13.0
23,,10.0,,,,
24,,,,,,17.0
25,13.0,,,,,
26,,,,,,11.0
27,,,,,16.0,
28,,,,,,17.0
29,15.0,,,,,
30,,,,,16.0,
31,,,,,,9.0
32,,,,,12.0,
33,,,,,16.0,
34,,,,,16.0,
35,,,,,,11.0
36,,,,,20.0,
37,,,,,12.0,
38,,,,,14.0,
39,,,,,,11.0
40,,,,,,11.0
41,,,,,,13.0
42,,,,,12.0,
43,,,,,,17.0
44,,,,,12.0,
45,,16.0,,,,
46,,,,,,11.0
47,,,,,,15.0
48,13.0,,,,,
49,,,,,,9.0
