,FLAT_v2_started_FLAT_v2_won,FLAT_v3_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v3_started_Tie,FLAT_v2_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,16.0,
1,,,,,12.0,
2,,,,,14.0,
3,,,,,10.0,
4,13.0,,,,,
5,,,,,,17.0
6,11.0,,,,,
7,,,,,16.0,
8,,,,,,13.0
9,,,,,22.0,
10,,,,,,9.0
11,,,,,10.0,
12,11.0,,,,,
13,,,,,12.0,
14,27.0,,,,,
15,,,,,24.0,
16,,,,,14.0,
17,11.0,,,,,
18,,,,,,39.0
19,,,,,12.0,
20,,,,,,11.0
21,11.0,,,,,
22,,,,,12.0,
23,,,,,,23.0
24,11.0,,,,,
25,,,,,,15.0
26,,,,,16.0,
27,,,,,,17.0
28,,,,,16.0,
29,,,,,,9.0
30,11.0,,,,,
31,,,,,12.0,
32,15.0,,,,,
33,11.0,,,,,
34,,,,,18.0,
35,,,,,,21.0
36,,,,,26.0,
37,,,,,,13.0
38,11.0,,,,,
39,,,,,,13.0
40,,,,,16.0,
41,,,,,26.0,
42,,,,,,9.0
43,,,,,,13.0
44,,,,,,9.0
45,,,,,14.0,
46,,,,,16.0,
47,,,,,,19.0
48,,,,,12.0,
49,,,,,,9.0
