,ZERO_v3_started_ZERO_v3_won,ZEROX_v3_started_ZERO_v3_won,ZERO_v3_started_Tie,ZEROX_v3_started_Tie,ZERO_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,,15.0
1,23.0,,,,,
2,,,,,,33.0
3,41.0,,,,,
4,,,,,,45.0
5,19.0,,,,,
6,,24.0,,,,
7,21.0,,,,,
8,,,,,38.0,
9,,,,,38.0,
10,,,,,,39.0
11,,,,,30.0,
12,19.0,,,,,
13,35.0,,,,,
14,23.0,,,,,
15,31.0,,,,,
16,,,,,,17.0
17,,,,,,23.0
18,,,,,30.0,
19,,,,,,37.0
20,,,,,66.0,
21,,,,,,33.0
22,,,,,,25.0
23,27.0,,,,,
24,,,,,34.0,
25,,,,,,39.0
26,33.0,,,,,
27,19.0,,,,,
28,,,,,26.0,
29,53.0,,,,,
30,,,,,,31.0
31,23.0,,,,,
32,,,,,,23.0
33,,40.0,,,,
34,,16.0,,,,
35,,36.0,,,,
36,,,,,30.0,
37,17.0,,,,,
38,,,,,,17.0
39,25.0,,,,,
40,15.0,,,,,
41,29.0,,,,,
42,27.0,,,,,
43,19.0,,,,,
44,,,,,28.0,
45,55.0,,,,,
46,39.0,,,,,
47,,,,,,47.0
48,21.0,,,,,
49,,24.0,,,,
