,FLAT_v1_started_FLAT_v1_won,UCT_6000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_6000_started_Tie,FLAT_v1_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,20.0,
1,,,,,,9.0
2,,,,,14.0,
3,,,,,,17.0
4,,,,,,9.0
5,19.0,,,,,
6,,,,,24.0,
7,,10.0,,,,
8,,10.0,,,,
9,9.0,,,,,
10,,,,,16.0,
11,,,,,,9.0
12,9.0,,,,,
13,,,,,,15.0
14,9.0,,,,,
15,,,,,,15.0
16,,10.0,,,,
17,,10.0,,,,
18,,,,,,9.0
19,,,,,16.0,
20,,10.0,,,,
21,9.0,,,,,
22,,,,,,17.0
23,9.0,,,,,
24,,,,,12.0,
25,9.0,,,,,
26,9.0,,,,,
27,,,,,,15.0
28,,,,,12.0,
29,,10.0,,,,
30,,,,,18.0,
31,,,,,,9.0
32,,,,,,9.0
33,9.0,,,,,
34,,,,,,21.0
35,,,,,,15.0
36,,,,,,9.0
37,,,,,,15.0
38,,10.0,,,,
39,9.0,,,,,
40,,10.0,,,,
41,15.0,,,,,
42,,,,,,23.0
43,,,,,,17.0
44,9.0,,,,,
45,9.0,,,,,
46,,12.0,,,,
47,,,,,10.0,
48,9.0,,,,,
49,9.0,,,,,
