,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v3_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v3_started_Tie,ZEROX_v2_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,,11.0
1,21.0,,,,,
2,,,,,18.0,
3,,,,,16.0,
4,,24.0,,,,
5,,,,,16.0,
6,47.0,,,,,
7,,,,,,15.0
8,,,,,,19.0
9,,,,,,33.0
10,,,,,,13.0
11,,,,,,33.0
12,,,,,,19.0
13,,,,,12.0,
14,,,,,20.0,
15,,,,,,67.0
16,,,,,18.0,
17,,,,,,11.0
18,,,,,,13.0
19,,,,,,11.0
20,,,,,26.0,
21,41.0,,,,,
22,41.0,,,,,
23,,,,,,25.0
24,25.0,,,,,
25,,,,,,27.0
26,,,,,,11.0
27,,,,,12.0,
28,,,,,,21.0
29,25.0,,,,,
30,,,,,28.0,
31,,,,,,13.0
32,,,,,,43.0
33,,,,,30.0,
34,21.0,,,,,
35,31.0,,,,,
36,,,,,30.0,
37,51.0,,,,,
38,35.0,,,,,
39,33.0,,,,,
40,17.0,,,,,
41,19.0,,,,,
42,,,,,,17.0
43,,,,,,31.0
44,,,,,20.0,
45,,,,,,13.0
46,15.0,,,,,
47,,,,,,11.0
48,,,,,,9.0
49,,,,,,11.0
