,FLAT_v1_started_FLAT_v1_won,UCT_10000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_10000_started_Tie,FLAT_v1_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,,,,,16.0,
1,,,,,16.0,
2,,,,,16.0,
3,,,,,16.0,
4,,,,,,11.0
5,,,,,,9.0
6,,10.0,,,,
7,,,,,,15.0
8,,,,,16.0,
9,,,,,12.0,
10,9.0,,,,,
11,,,,,,13.0
12,,,,,,13.0
13,,,,,16.0,
14,,,,,20.0,
15,,,,,16.0,
16,,,,,16.0,
17,,,,,18.0,
18,,,,,,17.0
19,,,,,14.0,
20,,,,,,15.0
21,,,,,,15.0
22,,,,,18.0,
23,,,,,,9.0
24,,,,,,15.0
25,,,,,12.0,
26,9.0,,,,,
27,,,,,,9.0
28,,,,,14.0,
29,,,,,,17.0
30,,,,,,13.0
31,,,,,,9.0
32,,,,,,9.0
33,,,,,,9.0
34,,,,,,9.0
35,,,,,,9.0
36,9.0,,,,,
37,,,,,10.0,
38,,,,,,9.0
39,,,,,,9.0
40,,,,,14.0,
41,,,,,16.0,
42,,,,,14.0,
43,9.0,,,,,
44,,,,,,15.0
45,,,,,16.0,
46,,,,,,19.0
47,,,,,,9.0
48,11.0,,,,,
49,,,,,,9.0
