,FLAT_v5_started_FLAT_v5_won,UCT_8000_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_8000_started_Tie,FLAT_v5_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,9.0,,,,,
1,,,,,14.0,
2,9.0,,,,,
3,9.0,,,,,
4,,,,,,23.0
5,9.0,,,,,
6,,10.0,,,,
7,,,,,14.0,
8,,10.0,,,,
9,,12.0,,,,
10,,,,,,15.0
11,17.0,,,,,
12,9.0,,,,,
13,,,,,,17.0
14,17.0,,,,,
15,,,,,,23.0
16,,,,,12.0,
17,,10.0,,,,
18,,,,,,11.0
19,9.0,,,,,
20,,,,,,21.0
21,,,,,,23.0
22,9.0,,,,,
23,,,,,,13.0
24,,10.0,,,,
25,9.0,,,,,
26,,10.0,,,,
27,,,,,,23.0
28,,,,,,17.0
29,,,,,18.0,
30,,10.0,,,,
31,9.0,,,,,
32,9.0,,,,,
33,,,,,,17.0
34,,,,,,13.0
35,,14.0,,,,
36,17.0,,,,,
37,,,,,16.0,
38,17.0,,,,,
39,9.0,,,,,
40,,,,,,19.0
41,,,,,,25.0
42,19.0,,,,,
43,,,,,20.0,
44,,,,,24.0,
45,,,,,,11.0
46,9.0,,,,,
47,,10.0,,,,
48,9.0,,,,,
49,19.0,,,,,
