,ZERO_v2_started_ZERO_v2_won,UCT_4000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_4000_started_Tie,ZERO_v2_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,,13.0
1,,12.0,,,,
2,,,,,,23.0
3,,,,,,11.0
4,9.0,,,,,
5,9.0,,,,,
6,,,,,,9.0
7,,,,,20.0,
8,,,,,,13.0
9,,,,,,11.0
10,,,,,,9.0
11,,,,,16.0,
12,,10.0,,,,
13,9.0,,,,,
14,9.0,,,,,
15,9.0,,,,,
16,,,,,,13.0
17,9.0,,,,,
18,9.0,,,,,
19,,,,,,9.0
20,,,,,,13.0
21,17.0,,,,,
22,,,,,14.0,
23,,,,,,9.0
24,17.0,,,,,
25,,10.0,,,,
26,9.0,,,,,
27,,10.0,,,,
28,9.0,,,,,
29,,,,,,25.0
30,15.0,,,,,
31,,,,,,11.0
32,,,,,,9.0
33,,,,,,9.0
34,,,,,,9.0
35,,,,,18.0,
36,,,,,,15.0
37,,,,,16.0,
38,,10.0,,,,
39,,,,,,17.0
40,,10.0,,,,
41,9.0,,,,,
42,,12.0,,,,
43,,12.0,,,,
44,,14.0,,,,
45,,,,,,9.0
46,,10.0,,,,
47,,,,,22.0,
48,,,,,,23.0
49,9.0,,,,,
