,FLAT_v1_started_FLAT_v1_won,FLAT_v5_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v5_started_Tie,FLAT_v1_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,,,,10.0,
1,,,,,16.0,
2,,12.0,,,,
3,,,,,14.0,
4,,,,,,9.0
5,,,,,10.0,
6,,,,,14.0,
7,,,,,,9.0
8,,,,,16.0,
9,,,,,10.0,
10,,,,,10.0,
11,11.0,,,,,
12,,,,,10.0,
13,,,,,10.0,
14,,,,,14.0,
15,,,,,10.0,
16,,,,,,11.0
17,,,,,,13.0
18,,,,,14.0,
19,,,,,,11.0
20,,,,,10.0,
21,,,,,10.0,
22,,,,,,9.0
23,,,,,10.0,
24,,,,,10.0,
25,,,,,,9.0
26,,,,,,11.0
27,,,,,,11.0
28,,,,,,11.0
29,11.0,,,,,
30,,14.0,,,,
31,,,,,10.0,
32,,16.0,,,,
33,,,,,,11.0
34,,,,,,9.0
35,,,,,,9.0
36,,,,,,9.0
37,,,,,14.0,
38,,,,,,9.0
39,,,,,,9.0
40,,,,,10.0,
41,,10.0,,,,
42,,,,,10.0,
43,11.0,,,,,
44,,,,,14.0,
45,,,,,,11.0
46,,,,,,11.0
47,,,,,,9.0
48,,,,,14.0,
49,,,,,,9.0
