,ZERO_v4_started_ZERO_v4_won,UCT_2000_started_ZERO_v4_won,ZERO_v4_started_Tie,UCT_2000_started_Tie,ZERO_v4_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,11.0,,,,,
1,,10.0,,,,
2,,10.0,,,,
3,,,,,12.0,
4,,10.0,,,,
5,11.0,,,,,
6,,12.0,,,,
7,,12.0,,,,
8,11.0,,,,,
9,11.0,,,,,
10,,12.0,,,,
11,,22.0,,,,
12,,16.0,,,,
13,,20.0,,,,
14,9.0,,,,,
15,,10.0,,,,
16,,12.0,,,,
17,,12.0,,,,
18,,10.0,,,,
19,,26.0,,,,
20,,12.0,,,,
21,,14.0,,,,
22,11.0,,,,,
23,,10.0,,,,
24,,,,,12.0,
25,,,,,,17.0
26,23.0,,,,,
27,11.0,,,,,
28,,10.0,,,,
29,,,,,,11.0
30,19.0,,,,,
31,11.0,,,,,
32,,14.0,,,,
33,13.0,,,,,
34,,,,,,15.0
35,11.0,,,,,
36,11.0,,,,,
37,13.0,,,,,
38,,10.0,,,,
39,,10.0,,,,
40,,10.0,,,,
41,11.0,,,,,
42,,12.0,,,,
43,11.0,,,,,
44,15.0,,,,,
45,,16.0,,,,
46,13.0,,,,,
47,,10.0,,,,
48,17.0,,,,,
49,9.0,,,,,
