,ZEROX_v2_started_ZEROX_v2_won,UCT_10000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_10000_started_Tie,ZEROX_v2_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,,10.0,,,,
1,,,,,,15.0
2,,,,,,13.0
3,,,,,,11.0
4,,,,,12.0,
5,,,,,18.0,
6,,,,,20.0,
7,,,,,,15.0
8,,14.0,,,,
9,,,,,,9.0
10,,,,,16.0,
11,,,,,20.0,
12,9.0,,,,,
13,15.0,,,,,
14,,,,,,15.0
15,,,,,,9.0
16,,,,,24.0,
17,,,,,,9.0
18,,,,,,9.0
19,9.0,,,,,
20,,,,,,11.0
21,,,,,,17.0
22,,12.0,,,,
23,,,,,,15.0
24,,,,,22.0,
25,,,,,,9.0
26,,,,,14.0,
27,,,,,,11.0
28,,,,,,9.0
29,17.0,,,,,
30,,,,,,15.0
31,,,,,,11.0
32,15.0,,,,,
33,,,,,,9.0
34,,,,,,9.0
35,,,,,20.0,
36,,,,,18.0,
37,15.0,,,,,
38,,,,,,15.0
39,,,,,,13.0
40,9.0,,,,,
41,,,,,,15.0
42,,,,,,15.0
43,,,,,12.0,
44,,,,,,11.0
45,,,,,,11.0
46,,,,,14.0,
47,9.0,,,,,
48,,,,,,9.0
49,,,,,14.0,
