,ZERO_v1_started_ZERO_v1_won,UCT_8000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_8000_started_Tie,ZERO_v1_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,,,,,,13.0
1,,,,,,9.0
2,,10.0,,,,
3,,,,,12.0,
4,,,,,,15.0
5,,,,,,11.0
6,,,,,,9.0
7,,,,,,13.0
8,,,,,,13.0
9,,,,,12.0,
10,,,,,,9.0
11,17.0,,,,,
12,,,,,,9.0
13,,,,,,13.0
14,,,,,12.0,
15,,,,,10.0,
16,,,,,10.0,
17,,,,,16.0,
18,,,,,12.0,
19,,,,,14.0,
20,,,,,,17.0
21,,,,,,13.0
22,,,,,,9.0
23,,,,,,11.0
24,,,,,12.0,
25,13.0,,,,,
26,,,,,,13.0
27,,,,,12.0,
28,,,,,,11.0
29,,,,,16.0,
30,,10.0,,,,
31,,,,,,9.0
32,,,,,,21.0
33,,,,,10.0,
34,,,,,16.0,
35,,,,,,19.0
36,,,,,12.0,
37,,,,,12.0,
38,,,,,16.0,
39,,,,,16.0,
40,,12.0,,,,
41,,,,,,15.0
42,,,,,,17.0
43,,,,,,11.0
44,17.0,,,,,
45,13.0,,,,,
46,,,,,10.0,
47,,,,,14.0,
48,,,,,,11.0
49,,10.0,,,,
