,ZEROX_v1_started_ZEROX_v1_won,UCT_2000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_2000_started_Tie,ZEROX_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,,,,18.0,
1,,10.0,,,,
2,,10.0,,,,
3,,12.0,,,,
4,11.0,,,,,
5,27.0,,,,,
6,11.0,,,,,
7,,,,,12.0,
8,,,,,16.0,
9,,,,,,13.0
10,,10.0,,,,
11,23.0,,,,,
12,13.0,,,,,
13,,10.0,,,,
14,,10.0,,,,
15,,,,,14.0,
16,,,,,20.0,
17,,10.0,,,,
18,,10.0,,,,
19,,10.0,,,,
20,15.0,,,,,
21,,,,,,11.0
22,13.0,,,,,
23,,,,,12.0,
24,17.0,,,,,
25,,,,,14.0,
26,13.0,,,,,
27,,10.0,,,,
28,13.0,,,,,
29,,,,,12.0,
30,13.0,,,,,
31,,,,,20.0,
32,,10.0,,,,
33,,,,,,11.0
34,,,,,24.0,
35,13.0,,,,,
36,,,,,,15.0
37,,14.0,,,,
38,,,,,20.0,
39,,10.0,,,,
40,,,,,10.0,
41,,,,,,15.0
42,11.0,,,,,
43,13.0,,,,,
44,,,,,12.0,
45,,,,,,13.0
46,,10.0,,,,
47,,,,,,19.0
48,,14.0,,,,
49,15.0,,,,,
