,ZERO_v1_started_ZERO_v1_won,ZERO_v2_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v2_started_Tie,ZERO_v1_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,19.0,,,,,
1,,,,,,25.0
2,,,,,12.0,
3,,,,,,9.0
4,25.0,,,,,
5,,,,,,43.0
6,,,,,,33.0
7,,,,,,43.0
8,,36.0,,,,
9,,,,,42.0,
10,,,,,,31.0
11,,,,,,11.0
12,,,,,,51.0
13,,44.0,,,,
14,,,,,,11.0
15,,,,,,39.0
16,,,,,,15.0
17,45.0,,,,,
18,19.0,,,,,
19,,50.0,,,,
20,,,,,,51.0
21,,,,,,31.0
22,33.0,,,,,
23,,,,,,37.0
24,,,,,16.0,
25,17.0,,,,,
26,,,,,,23.0
27,,,,,,49.0
28,21.0,,,,,
29,,,,,22.0,
30,,,,,,17.0
31,,,,,14.0,
32,,30.0,,,,
33,17.0,,,,,
34,,22.0,,,,
35,,,,,,31.0
36,,40.0,,,,
37,,,,,,31.0
38,,,,,,35.0
39,,,,,,41.0
40,35.0,,,,,
41,37.0,,,,,
42,13.0,,,,,
43,,,,,18.0,
44,,28.0,,,,
45,,,,,,45.0
46,15.0,,,,,
47,,,,,,37.0
48,,,,,10.0,
49,,,,,,11.0
