,ZERO_v1_started_ZERO_v1_won,ZERO_v4_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v4_started_Tie,ZERO_v1_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,,13.0
1,,,,,,11.0
2,,,,,12.0,
3,,,,,,31.0
4,,,,,,15.0
5,61.0,,,,,
6,,,,,,17.0
7,,,,,,13.0
8,,,,,,15.0
9,,,,,,13.0
10,,,,,12.0,
11,,,,,18.0,
12,,,,,,33.0
13,,,,,12.0,
14,,,,,10.0,
15,,,,,16.0,
16,,,,,10.0,
17,,,,,10.0,
18,,,,,12.0,
19,,,,,,13.0
20,,,,,16.0,
21,,,,,,11.0
22,,,,,,19.0
23,,,,,12.0,
24,,,,,,17.0
25,,,,,,23.0
26,,,,,14.0,
27,,,,,12.0,
28,,,,,12.0,
29,,,,,12.0,
30,,,,,,13.0
31,,,,,,13.0
32,,,,,,9.0
33,,,,,,15.0
34,,,,,,13.0
35,,,,,18.0,
36,,,,,,33.0
37,,,,,,17.0
38,,,,,,13.0
39,,,,,,15.0
40,19.0,,,,,
41,,,,,,11.0
42,19.0,,,,,
43,25.0,,,,,
44,,,,,12.0,
45,,,,,,11.0
46,,,,,,19.0
47,,,,,,13.0
48,,,,,,9.0
49,,,,,,13.0
