,FLAT_v1_started_FLAT_v1_won,FLAT_v4_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v4_started_Tie,FLAT_v1_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,,,,,10.0,
1,,,,,,13.0
2,,,,,,13.0
3,,,,,10.0,
4,,,,,10.0,
5,,,,,,15.0
6,,,,,14.0,
7,,,,,10.0,
8,,14.0,,,,
9,,,,,,15.0
10,,12.0,,,,
11,,,,,10.0,
12,,,,,,17.0
13,,,,,,13.0
14,,,,,10.0,
15,,,,,,15.0
16,,,,,14.0,
17,,,,,,13.0
18,,,,,,15.0
19,,,,,,13.0
20,,,,,16.0,
21,,,,,18.0,
22,,,,,,13.0
23,,,,,12.0,
24,,,,,12.0,
25,,,,,12.0,
26,,16.0,,,,
27,,,,,10.0,
28,,,,,,13.0
29,,,,,10.0,
30,15.0,,,,,
31,,,,,10.0,
32,,,,,,15.0
33,,,,,10.0,
34,,,,,16.0,
35,,,,,,13.0
36,,,,,12.0,
37,,,,,10.0,
38,,,,,,15.0
39,19.0,,,,,
40,,,,,10.0,
41,,,,,,15.0
42,,,,,,17.0
43,,,,,,13.0
44,,,,,18.0,
45,,,,,10.0,
46,,,,,14.0,
47,,,,,,15.0
48,,,,,,15.0
49,,,,,10.0,
