,FLAT_v2_started_FLAT_v2_won,ZEROX_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZEROX_v2_started_Tie,FLAT_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,,43.0
1,,,,,16.0,
2,,,,,16.0,
3,,,,,,39.0
4,,,,,28.0,
5,27.0,,,,,
6,,,,,,33.0
7,,,,,,19.0
8,,,,,24.0,
9,,,,,20.0,
10,,,,,12.0,
11,,,,,16.0,
12,,,,,12.0,
13,,,,,,27.0
14,,,,,,57.0
15,35.0,,,,,
16,,,,,10.0,
17,,,,,34.0,
18,,,,,,33.0
19,,,,,,23.0
20,,,,,16.0,
21,25.0,,,,,
22,,,,,14.0,
23,,,,,24.0,
24,,,,,44.0,
25,,,,,14.0,
26,,,,,,35.0
27,,,,,40.0,
28,,,,,,27.0
29,,,,,,15.0
30,,,,,40.0,
31,,,,,14.0,
32,,,,,,41.0
33,,,,,,45.0
34,,,,,,25.0
35,,,,,,19.0
36,,,,,32.0,
37,,,,,,19.0
38,,,,,18.0,
39,,,,,,11.0
40,,,,,,39.0
41,,,,,12.0,
42,,,,,,35.0
43,27.0,,,,,
44,,,,,18.0,
45,,,,,,27.0
46,,,,,20.0,
47,,,,,14.0,
48,,,,,10.0,
49,,,,,40.0,
