,ZEROX_v3_started_ZEROX_v3_won,UCT_8000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_8000_started_Tie,ZEROX_v3_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,,10.0,,,,
1,,,,,,19.0
2,,,,,,13.0
3,,,,,,9.0
4,9.0,,,,,
5,,12.0,,,,
6,,,,,16.0,
7,,,,,,15.0
8,,,,,,17.0
9,,,,,,13.0
10,,,,,18.0,
11,11.0,,,,,
12,9.0,,,,,
13,,10.0,,,,
14,,,,,,9.0
15,,,,,14.0,
16,11.0,,,,,
17,,,,,,11.0
18,,,,,,9.0
19,15.0,,,,,
20,,,,,,13.0
21,,,,,,13.0
22,,,,,16.0,
23,,,,,22.0,
24,,,,,,13.0
25,,,,,,15.0
26,,,,,20.0,
27,,,,,,17.0
28,,,,,,13.0
29,,,,,,15.0
30,,,,,10.0,
31,,,,,,13.0
32,,10.0,,,,
33,,,,,14.0,
34,9.0,,,,,
35,,,,,,9.0
36,13.0,,,,,
37,15.0,,,,,
38,,,,,18.0,
39,,,,,,9.0
40,,,,,,11.0
41,,,,,,17.0
42,,,,,,15.0
43,,12.0,,,,
44,,,,,12.0,
45,,,,,,9.0
46,,,,,,11.0
47,,,,,,13.0
48,,,,,,9.0
49,9.0,,,,,
