,FLAT_v3_started_FLAT_v3_won,FLAT_v5_started_FLAT_v3_won,FLAT_v3_started_Tie,FLAT_v5_started_Tie,FLAT_v3_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,15.0,,,,,
1,,,,,,9.0
2,,,,,,11.0
3,29.0,,,,,
4,,,,,16.0,
5,,,,,,9.0
6,15.0,,,,,
7,,,,,,9.0
8,,,,,10.0,
9,17.0,,,,,
10,11.0,,,,,
11,25.0,,,,,
12,,,,,,15.0
13,,,,,10.0,
14,27.0,,,,,
15,15.0,,,,,
16,,14.0,,,,
17,,12.0,,,,
18,,,,,,13.0
19,13.0,,,,,
20,,,,,,11.0
21,,,,,,13.0
22,,,,,,9.0
23,,12.0,,,,
24,,,,,,9.0
25,,12.0,,,,
26,,,,,20.0,
27,13.0,,,,,
28,9.0,,,,,
29,23.0,,,,,
30,9.0,,,,,
31,,,,,22.0,
32,,,,,,9.0
33,,,,,,9.0
34,,10.0,,,,
35,9.0,,,,,
36,,,,,,11.0
37,19.0,,,,,
38,,,,,,13.0
39,,12.0,,,,
40,,,,,,9.0
41,9.0,,,,,
42,31.0,,,,,
43,9.0,,,,,
44,27.0,,,,,
45,,,,,12.0,
46,,22.0,,,,
47,15.0,,,,,
48,11.0,,,,,
49,15.0,,,,,
