,ZERO_v1_started_ZERO_v1_won,ZERO_v5_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v5_started_Tie,ZERO_v1_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,,17.0
1,,,,,14.0,
2,,,,,,11.0
3,,,,,,11.0
4,,,,,,9.0
5,,,,,12.0,
6,,,,,14.0,
7,,,,,10.0,
8,,,,,12.0,
9,,,,,,9.0
10,33.0,,,,,
11,,,,,12.0,
12,,,,,18.0,
13,,,,,,15.0
14,,,,,,11.0
15,,,,,10.0,
16,,,,,10.0,
17,,,,,12.0,
18,,,,,22.0,
19,,,,,20.0,
20,,,,,,11.0
21,,,,,16.0,
22,,,,,18.0,
23,,,,,12.0,
24,27.0,,,,,
25,,,,,,9.0
26,,,,,,15.0
27,,,,,,11.0
28,,,,,12.0,
29,,,,,,11.0
30,,,,,,9.0
31,,,,,20.0,
32,,,,,16.0,
33,,,,,,9.0
34,,,,,,11.0
35,,,,,30.0,
36,,,,,18.0,
37,,,,,12.0,
38,,,,,12.0,
39,,,,,,23.0
40,,,,,,11.0
41,,,,,,11.0
42,,,,,20.0,
43,,,,,,9.0
44,,,,,14.0,
45,,,,,10.0,
46,,,,,,9.0
47,,,,,16.0,
48,,,,,,11.0
49,,,,,16.0,
