,ZERO_v4_started_ZERO_v4_won,UCT_6000_started_ZERO_v4_won,ZERO_v4_started_Tie,UCT_6000_started_Tie,ZERO_v4_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,9.0
1,11.0,,,,,
2,,,,,,11.0
3,,,,,12.0,
4,,,,,12.0,
5,,,,,10.0,
6,,,,,12.0,
7,,10.0,,,,
8,,,,,14.0,
9,9.0,,,,,
10,,,,,,17.0
11,,10.0,,,,
12,,,,,10.0,
13,,,,,,19.0
14,11.0,,,,,
15,11.0,,,,,
16,13.0,,,,,
17,,,,,,11.0
18,,10.0,,,,
19,11.0,,,,,
20,,12.0,,,,
21,11.0,,,,,
22,,12.0,,,,
23,,14.0,,,,
24,,,,,10.0,
25,11.0,,,,,
26,,,,,,9.0
27,,,,,,17.0
28,,10.0,,,,
29,11.0,,,,,
30,,,,,10.0,
31,,,,,,17.0
32,,,,,12.0,
33,,,,,,9.0
34,,,,,10.0,
35,9.0,,,,,
36,,10.0,,,,
37,,,,,10.0,
38,,,,,,19.0
39,11.0,,,,,
40,,,,,,13.0
41,,,,,,17.0
42,,,,,10.0,
43,,,,,,17.0
44,,,,,,27.0
45,,,,,22.0,
46,,,,,,21.0
47,,,,,,27.0
48,,10.0,,,,
49,,,,,,19.0
