,ZERO_v2_started_ZERO_v2_won,ZERO_v4_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v4_started_Tie,ZERO_v2_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,22.0,
1,13.0,,,,,
2,,,,,,29.0
3,,,,,16.0,
4,,,,,,11.0
5,,,,,16.0,
6,,,,,16.0,
7,9.0,,,,,
8,,,,,,13.0
9,,,,,,15.0
10,,,,,,19.0
11,23.0,,,,,
12,,,,,16.0,
13,,,,,,9.0
14,23.0,,,,,
15,,,,,20.0,
16,29.0,,,,,
17,37.0,,,,,
18,23.0,,,,,
19,,,,,,11.0
20,15.0,,,,,
21,,,,,,29.0
22,,,,,,11.0
23,25.0,,,,,
24,,,,,14.0,
25,,,,,,15.0
26,,,,,,13.0
27,,,,,,15.0
28,,,,,16.0,
29,17.0,,,,,
30,,,,,14.0,
31,,,,,16.0,
32,,,,,18.0,
33,,,,,,33.0
34,,,,,16.0,
35,,,,,22.0,
36,9.0,,,,,
37,19.0,,,,,
38,,,,,22.0,
39,,,,,16.0,
40,,,,,,17.0
41,,,,,,15.0
42,,,,,10.0,
43,,,,,,17.0
44,17.0,,,,,
45,,,,,,33.0
46,,,,,,11.0
47,,,,,,23.0
48,29.0,,,,,
49,,,,,10.0,
