,ZERO_v2_started_ZERO_v2_won,ZERO_v3_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v3_started_Tie,ZERO_v2_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,18.0,
1,,,,,,9.0
2,,,,,,13.0
3,,,,,,19.0
4,,,,,20.0,
5,,,,,,15.0
6,41.0,,,,,
7,,,,,,35.0
8,,,,,,11.0
9,29.0,,,,,
10,,,,,,17.0
11,,,,,,11.0
12,,,,,,29.0
13,,56.0,,,,
14,,,,,,11.0
15,,,,,,39.0
16,,,,,24.0,
17,,,,,14.0,
18,31.0,,,,,
19,35.0,,,,,
20,,,,,20.0,
21,,,,,20.0,
22,,,,,,15.0
23,,,,,,11.0
24,,,,,,17.0
25,21.0,,,,,
26,,,,,18.0,
27,25.0,,,,,
28,19.0,,,,,
29,,,,,,9.0
30,27.0,,,,,
31,,,,,,33.0
32,,,,,,11.0
33,,,,,30.0,
34,57.0,,,,,
35,,26.0,,,,
36,,,,,16.0,
37,37.0,,,,,
38,,,,,32.0,
39,,,,,,11.0
40,,,,,20.0,
41,,38.0,,,,
42,,,,,,13.0
43,23.0,,,,,
44,,,,,16.0,
45,21.0,,,,,
46,35.0,,,,,
47,,,,,,9.0
48,,,,,20.0,
49,29.0,,,,,
