,FLAT_v4_started_FLAT_v4_won,FLAT_v5_started_FLAT_v4_won,FLAT_v4_started_Tie,FLAT_v5_started_Tie,FLAT_v4_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,,,,,9.0
1,,,,,18.0,
2,17.0,,,,,
3,,,,,,11.0
4,19.0,,,,,
5,,,,,,11.0
6,,10.0,,,,
7,,,,,,9.0
8,,,,,,9.0
9,17.0,,,,,
10,,12.0,,,,
11,,10.0,,,,
12,,,,,,9.0
13,,,,,,11.0
14,43.0,,,,,
15,13.0,,,,,
16,,14.0,,,,
17,17.0,,,,,
18,,,,,,9.0
19,13.0,,,,,
20,,,,,16.0,
21,,,,,,9.0
22,,,,,24.0,
23,27.0,,,,,
24,13.0,,,,,
25,,10.0,,,,
26,,,,,,9.0
27,,,,,42.0,
28,,,,,14.0,
29,25.0,,,,,
30,15.0,,,,,
31,,,,,,9.0
32,15.0,,,,,
33,,,,,,11.0
34,19.0,,,,,
35,,,,,,13.0
36,,,,,,11.0
37,21.0,,,,,
38,,,,,,15.0
39,33.0,,,,,
40,,,,,,11.0
41,13.0,,,,,
42,21.0,,,,,
43,,12.0,,,,
44,,,,,,9.0
45,,,,,14.0,
46,,,,,,17.0
47,17.0,,,,,
48,,,,,18.0,
49,15.0,,,,,
