,ZEROX_v4_started_ZEROX_v4_won,UCT_8000_started_ZEROX_v4_won,ZEROX_v4_started_Tie,UCT_8000_started_Tie,ZEROX_v4_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,19.0,,,,,
1,,,,,,19.0
2,,,,,,21.0
3,,,,,10.0,
4,13.0,,,,,
5,,,,,,23.0
6,,,,,,9.0
7,,,,,,15.0
8,11.0,,,,,
9,,18.0,,,,
10,,10.0,,,,
11,,,,,,15.0
12,,,,,10.0,
13,,,,,,17.0
14,,10.0,,,,
15,13.0,,,,,
16,13.0,,,,,
17,,,,,10.0,
18,,,,,,11.0
19,,,,,10.0,
20,11.0,,,,,
21,13.0,,,,,
22,,,,,,9.0
23,,,,,10.0,
24,,10.0,,,,
25,,,,,24.0,
26,,,,,16.0,
27,,10.0,,,,
28,,,,,10.0,
29,11.0,,,,,
30,,10.0,,,,
31,,,,,,15.0
32,,,,,,9.0
33,,,,,,9.0
34,,,,,,11.0
35,,,,,,15.0
36,,10.0,,,,
37,,,,,10.0,
38,,14.0,,,,
39,,,,,14.0,
40,11.0,,,,,
41,,10.0,,,,
42,,,,,,17.0
43,11.0,,,,,
44,,10.0,,,,
45,,,,,,9.0
46,,12.0,,,,
47,,,,,12.0,
48,,10.0,,,,
49,,,,,,9.0
