,FLAT_v1_started_FLAT_v1_won,FLAT_v3_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v3_started_Tie,FLAT_v1_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,12.0,
1,,,,,,19.0
2,,,,,,19.0
3,,,,,,13.0
4,,,,,,13.0
5,,,,,,9.0
6,,,,,,11.0
7,,,,,10.0,
8,,,,,,13.0
9,11.0,,,,,
10,13.0,,,,,
11,,,,,,19.0
12,,,,,,13.0
13,,,,,,9.0
14,11.0,,,,,
15,,,,,18.0,
16,,,,,10.0,
17,,,,,10.0,
18,,,,,,9.0
19,,,,,18.0,
20,,,,,12.0,
21,,,,,,15.0
22,11.0,,,,,
23,,,,,,13.0
24,,,,,,13.0
25,,14.0,,,,
26,,,,,,9.0
27,,,,,,13.0
28,11.0,,,,,
29,,,,,14.0,
30,,,,,16.0,
31,,,,,,9.0
32,,,,,,13.0
33,,,,,,13.0
34,,,,,,21.0
35,,,,,,21.0
36,,,,,,9.0
37,,,,,20.0,
38,,18.0,,,,
39,13.0,,,,,
40,,,,,,13.0
41,,,,,,9.0
42,,,,,,9.0
43,,,,,,9.0
44,11.0,,,,,
45,13.0,,,,,
46,,,,,,9.0
47,11.0,,,,,
48,,,,,10.0,
49,11.0,,,,,
