,ZEROX_v5_started_ZEROX_v5_won,UCT_2000_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_2000_started_Tie,ZEROX_v5_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,10.0,,,,
1,9.0,,,,,
2,,18.0,,,,
3,,10.0,,,,
4,9.0,,,,,
5,9.0,,,,,
6,,24.0,,,,
7,9.0,,,,,
8,,16.0,,,,
9,,10.0,,,,
10,,,,,,29.0
11,,16.0,,,,
12,,12.0,,,,
13,17.0,,,,,
14,,16.0,,,,
15,29.0,,,,,
16,9.0,,,,,
17,9.0,,,,,
18,9.0,,,,,
19,9.0,,,,,
20,,16.0,,,,
21,,10.0,,,,
22,9.0,,,,,
23,9.0,,,,,
24,,10.0,,,,
25,,12.0,,,,
26,,10.0,,,,
27,,,,,,13.0
28,,14.0,,,,
29,,12.0,,,,
30,,10.0,,,,
31,,30.0,,,,
32,,10.0,,,,
33,,12.0,,,,
34,,16.0,,,,
35,,12.0,,,,
36,9.0,,,,,
37,,18.0,,,,
38,,12.0,,,,
39,,,,,,11.0
40,9.0,,,,,
41,,10.0,,,,
42,,10.0,,,,
43,,12.0,,,,
44,11.0,,,,,
45,,10.0,,,,
46,,10.0,,,,
47,9.0,,,,,
48,,,,,,27.0
49,,38.0,,,,
