,ZERO_v4_started_ZERO_v4_won,UCT_4000_started_ZERO_v4_won,ZERO_v4_started_Tie,UCT_4000_started_Tie,ZERO_v4_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,11.0,,,,,
1,,14.0,,,,
2,,12.0,,,,
3,,,,,,11.0
4,,,,,,17.0
5,,,,,,19.0
6,11.0,,,,,
7,,,,,,9.0
8,,28.0,,,,
9,,10.0,,,,
10,9.0,,,,,
11,,,,,,11.0
12,,18.0,,,,
13,11.0,,,,,
14,,,,,12.0,
15,,,,,12.0,
16,,10.0,,,,
17,11.0,,,,,
18,,,,,16.0,
19,,,,,,27.0
20,11.0,,,,,
21,,,,,,19.0
22,,14.0,,,,
23,,10.0,,,,
24,,,,,,19.0
25,13.0,,,,,
26,21.0,,,,,
27,,,,,,15.0
28,11.0,,,,,
29,,,,,12.0,
30,,,,,,9.0
31,,12.0,,,,
32,,,,,,19.0
33,17.0,,,,,
34,13.0,,,,,
35,,,,,,21.0
36,17.0,,,,,
37,15.0,,,,,
38,,,,,,17.0
39,,12.0,,,,
40,,10.0,,,,
41,,10.0,,,,
42,13.0,,,,,
43,,,,,,11.0
44,,10.0,,,,
45,9.0,,,,,
46,13.0,,,,,
47,,,,,10.0,
48,17.0,,,,,
49,11.0,,,,,
