,FLAT_v3_started_FLAT_v3_won,FLAT_v4_started_FLAT_v3_won,FLAT_v3_started_Tie,FLAT_v4_started_Tie,FLAT_v3_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,,,,,12.0,
1,15.0,,,,,
2,11.0,,,,,
3,,,,,10.0,
4,11.0,,,,,
5,,12.0,,,,
6,9.0,,,,,
7,21.0,,,,,
8,,,,,,17.0
9,17.0,,,,,
10,,,,,,17.0
11,29.0,,,,,
12,19.0,,,,,
13,11.0,,,,,
14,29.0,,,,,
15,,,,,,11.0
16,31.0,,,,,
17,11.0,,,,,
18,23.0,,,,,
19,,,,,,27.0
20,,12.0,,,,
21,11.0,,,,,
22,23.0,,,,,
23,15.0,,,,,
24,,,,,,15.0
25,,,,,10.0,
26,,,,,10.0,
27,11.0,,,,,
28,,24.0,,,,
29,,,,,,15.0
30,,,,,,13.0
31,,,,,24.0,
32,,,,,,15.0
33,,,,,,13.0
34,,,,,,13.0
35,,,,,10.0,
36,,14.0,,,,
37,,36.0,,,,
38,11.0,,,,,
39,,22.0,,,,
40,31.0,,,,,
41,19.0,,,,,
42,,,,,12.0,
43,,,,,,33.0
44,,24.0,,,,
45,,,,,,15.0
46,,,,,10.0,
47,,,,,,21.0
48,23.0,,,,,
49,,12.0,,,,
