,FLAT_v4_started_FLAT_v4_won,UCT_6000_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_6000_started_Tie,FLAT_v4_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,10.0,,,,
1,,,,,14.0,
2,,,,,10.0,
3,,10.0,,,,
4,,,,,20.0,
5,13.0,,,,,
6,11.0,,,,,
7,,10.0,,,,
8,,,,,,9.0
9,,,,,,21.0
10,,12.0,,,,
11,,,,,16.0,
12,,,,,14.0,
13,,,,,16.0,
14,,10.0,,,,
15,21.0,,,,,
16,,,,,10.0,
17,,,,,10.0,
18,,10.0,,,,
19,,,,,,11.0
20,11.0,,,,,
21,,,,,10.0,
22,,,,,10.0,
23,,,,,,17.0
24,,,,,10.0,
25,,,,,,17.0
26,,,,,28.0,
27,,,,,10.0,
28,,10.0,,,,
29,,,,,,11.0
30,,,,,10.0,
31,11.0,,,,,
32,,,,,,15.0
33,,14.0,,,,
34,9.0,,,,,
35,,,,,,19.0
36,,,,,,9.0
37,,,,,14.0,
38,11.0,,,,,
39,,10.0,,,,
40,,,,,,21.0
41,,,,,12.0,
42,11.0,,,,,
43,13.0,,,,,
44,,10.0,,,,
45,11.0,,,,,
46,,10.0,,,,
47,,,,,18.0,
48,,10.0,,,,
49,,,,,12.0,
