,ZERO_v3_started_ZERO_v3_won,ZERO_v4_started_ZERO_v3_won,ZERO_v3_started_Tie,ZERO_v4_started_Tie,ZERO_v3_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,35.0,,,,,
1,,,,,32.0,
2,27.0,,,,,
3,,,,,,23.0
4,49.0,,,,,
5,21.0,,,,,
6,13.0,,,,,
7,,,,,,29.0
8,,,,,,27.0
9,,,,,36.0,
10,,,,,20.0,
11,,,,,,17.0
12,,,,,,35.0
13,,,,,40.0,
14,,,,,,25.0
15,45.0,,,,,
16,,,,,,29.0
17,15.0,,,,,
18,21.0,,,,,
19,9.0,,,,,
20,33.0,,,,,
21,,,,,64.0,
22,51.0,,,,,
23,25.0,,,,,
24,,,,,,19.0
25,,,,,,19.0
26,,,,,,31.0
27,,,,,,47.0
28,,,,,,17.0
29,23.0,,,,,
30,,,,,,23.0
31,31.0,,,,,
32,21.0,,,,,
33,,40.0,,,,
34,,,,,,21.0
35,11.0,,,,,
36,,,,,,15.0
37,9.0,,,,,
38,,,,,,9.0
39,11.0,,,,,
40,,,,,,29.0
41,9.0,,,,,
42,,,,,,19.0
43,11.0,,,,,
44,,,,,,49.0
45,29.0,,,,,
46,,,,,,17.0
47,17.0,,,,,
48,17.0,,,,,
49,51.0,,,,,
