,FLAT_started_FLAT_won,UCT_4000_started_FLAT_won,FLAT_started_Tie,UCT_4000_started_Tie,FLAT_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,9.0,,,,,
1,,20.0,,,,
2,9.0,,,,,
3,9.0,,,,,
4,,12.0,,,,
5,9.0,,,,,
6,,,,,26.0,
7,,16.0,,,,
8,,10.0,,,,
9,,10.0,,,,
10,9.0,,,,,
11,,,,,16.0,
12,9.0,,,,,
13,,10.0,,,,
14,9.0,,,,,
15,9.0,,,,,
16,,10.0,,,,
17,,10.0,,,,
18,,10.0,,,,
19,17.0,,,,,
20,,10.0,,,,
21,,,,,14.0,
22,,16.0,,,,
23,,,,,,11.0
24,9.0,,,,,
25,,,,,,21.0
26,,10.0,,,,
27,9.0,,,,,
28,9.0,,,,,
29,9.0,,,,,
30,,10.0,,,,
31,9.0,,,,,
32,,,,,18.0,
33,,,,,18.0,
34,9.0,,,,,
35,9.0,,,,,
36,,10.0,,,,
37,,,,,,11.0
38,,10.0,,,,
39,9.0,,,,,
40,9.0,,,,,
41,,,,,14.0,
42,,12.0,,,,
43,,,,,,11.0
44,,10.0,,,,
45,9.0,,,,,
46,,18.0,,,,
47,9.0,,,,,
48,,10.0,,,,
49,,,,,14.0,
