,FLAT_v2_started_FLAT_v2_won,UCT_2000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_2000_started_Tie,FLAT_v2_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,9.0,,,,,
1,9.0,,,,,
2,9.0,,,,,
3,9.0,,,,,
4,,,,,,21.0
5,,10.0,,,,
6,9.0,,,,,
7,9.0,,,,,
8,,10.0,,,,
9,9.0,,,,,
10,9.0,,,,,
11,9.0,,,,,
12,9.0,,,,,
13,9.0,,,,,
14,,,,,18.0,
15,,10.0,,,,
16,9.0,,,,,
17,11.0,,,,,
18,,,,,,17.0
19,,,,,,11.0
20,,,,,16.0,
21,,,,,,13.0
22,9.0,,,,,
23,,10.0,,,,
24,9.0,,,,,
25,15.0,,,,,
26,,10.0,,,,
27,,,,,,9.0
28,,10.0,,,,
29,,10.0,,,,
30,9.0,,,,,
31,9.0,,,,,
32,9.0,,,,,
33,,,,,,27.0
34,,16.0,,,,
35,9.0,,,,,
36,,10.0,,,,
37,9.0,,,,,
38,9.0,,,,,
39,,,,,,13.0
40,,,,,,9.0
41,9.0,,,,,
42,,10.0,,,,
43,,10.0,,,,
44,,,,,,23.0
45,,10.0,,,,
46,,10.0,,,,
47,,,,,,15.0
48,,,,,,15.0
49,,20.0,,,,
