,FLAT_v1_started_FLAT_v1_won,UCT_2000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_2000_started_Tie,FLAT_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,17.0,,,,,
1,9.0,,,,,
2,,10.0,,,,
3,,,,,,15.0
4,,10.0,,,,
5,,10.0,,,,
6,,16.0,,,,
7,,10.0,,,,
8,,10.0,,,,
9,,10.0,,,,
10,9.0,,,,,
11,,,,,,15.0
12,,,,,,9.0
13,9.0,,,,,
14,9.0,,,,,
15,,10.0,,,,
16,9.0,,,,,
17,9.0,,,,,
18,,10.0,,,,
19,9.0,,,,,
20,,18.0,,,,
21,,10.0,,,,
22,,10.0,,,,
23,9.0,,,,,
24,9.0,,,,,
25,,10.0,,,,
26,,,,,,15.0
27,,10.0,,,,
28,,,,,,9.0
29,,,,,18.0,
30,9.0,,,,,
31,9.0,,,,,
32,9.0,,,,,
33,9.0,,,,,
34,9.0,,,,,
35,,10.0,,,,
36,9.0,,,,,
37,9.0,,,,,
38,,10.0,,,,
39,9.0,,,,,
40,,,,,,9.0
41,,10.0,,,,
42,,10.0,,,,
43,13.0,,,,,
44,,10.0,,,,
45,,10.0,,,,
46,,,,,,17.0
47,,10.0,,,,
48,9.0,,,,,
49,,10.0,,,,
