,FLAT_v2_started_FLAT_v2_won,FLAT_v4_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v4_started_Tie,FLAT_v2_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,,,,,12.0,
1,,,,,14.0,
2,,12.0,,,,
3,,,,,,19.0
4,,,,,,13.0
5,,,,,,17.0
6,,,,,,17.0
7,,,,,,17.0
8,,,,,16.0,
9,,,,,12.0,
10,,,,,,15.0
11,,,,,12.0,
12,,,,,,9.0
13,,,,,10.0,
14,,,,,,11.0
15,,,,,18.0,
16,,,,,10.0,
17,9.0,,,,,
18,,,,,,15.0
19,,,,,10.0,
20,,,,,,13.0
21,,,,,18.0,
22,,12.0,,,,
23,,,,,12.0,
24,9.0,,,,,
25,15.0,,,,,
26,,,,,,17.0
27,,14.0,,,,
28,,,,,14.0,
29,,,,,12.0,
30,15.0,,,,,
31,,,,,,19.0
32,,,,,16.0,
33,11.0,,,,,
34,,,,,,15.0
35,15.0,,,,,
36,,,,,,15.0
37,,,,,14.0,
38,,,,,,19.0
39,,,,,,19.0
40,,,,,,15.0
41,,24.0,,,,
42,,,,,10.0,
43,,,,,10.0,
44,,,,,,15.0
45,,,,,12.0,
46,,,,,12.0,
47,,12.0,,,,
48,,,,,,15.0
49,,,,,10.0,
