,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v5_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v5_started_Tie,ZEROX_v2_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,16.0,
1,,,,,16.0,
2,9.0,,,,,
3,,,,,16.0,
4,,,,,,19.0
5,,,,,14.0,
6,,,,,,11.0
7,,,,,,11.0
8,,,,,16.0,
9,,,,,12.0,
10,,,,,,11.0
11,,,,,,9.0
12,,,,,,19.0
13,,,,,,9.0
14,23.0,,,,,
15,,,,,,11.0
16,,,,,,11.0
17,,,,,,11.0
18,,,,,,9.0
19,,,,,14.0,
20,,,,,14.0,
21,,,,,18.0,
22,,,,,16.0,
23,,,,,10.0,
24,,,,,,13.0
25,,,,,,11.0
26,,,,,,9.0
27,,,,,,9.0
28,,,,,10.0,
29,,,,,14.0,
30,,,,,10.0,
31,,,,,,13.0
32,,,,,16.0,
33,,,,,10.0,
34,,,,,,11.0
35,,,,,16.0,
36,,,,,16.0,
37,,,,,,11.0
38,,,,,14.0,
39,,,,,,13.0
40,,,,,,11.0
41,,,,,14.0,
42,,,,,,9.0
43,,,,,,11.0
44,23.0,,,,,
45,,,,,,9.0
46,,,,,14.0,
47,,,,,,9.0
48,,,,,,13.0
49,,,,,,13.0
