,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v3_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v3_started_Tie,ZEROX_v1_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,16.0,
1,,,,,18.0,
2,,,,,20.0,
3,,,,,,17.0
4,,,,,,11.0
5,,,,,12.0,
6,,,,,,9.0
7,33.0,,,,,
8,,,,,,11.0
9,,,,,20.0,
10,19.0,,,,,
11,,,,,40.0,
12,27.0,,,,,
13,,,,,,21.0
14,,,,,30.0,
15,,28.0,,,,
16,,,,,,11.0
17,,,,,,15.0
18,,,,,,15.0
19,,,,,22.0,
20,,,,,26.0,
21,,,,,,23.0
22,,,,,,9.0
23,,,,,20.0,
24,,,,,,17.0
25,35.0,,,,,
26,,,,,12.0,
27,,,,,,17.0
28,,,,,,9.0
29,13.0,,,,,
30,23.0,,,,,
31,,,,,24.0,
32,,,,,,11.0
33,19.0,,,,,
34,,,,,10.0,
35,,48.0,,,,
36,23.0,,,,,
37,21.0,,,,,
38,,,,,,11.0
39,19.0,,,,,
40,,,,,,11.0
41,,,,,14.0,
42,37.0,,,,,
43,,,,,,13.0
44,33.0,,,,,
45,33.0,,,,,
46,29.0,,,,,
47,,,,,20.0,
48,,,,,,13.0
49,17.0,,,,,
