,ZERO_started_ZERO_won,UCT_4000_started_ZERO_won,ZERO_started_Tie,UCT_4000_started_Tie,ZERO_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,10.0,,,,
1,,,,,14.0,
2,9.0,,,,,
3,9.0,,,,,
4,,12.0,,,,
5,,10.0,,,,
6,,,,,14.0,
7,,,,,18.0,
8,,12.0,,,,
9,,,,,,13.0
10,,14.0,,,,
11,,,,,14.0,
12,11.0,,,,,
13,9.0,,,,,
14,,10.0,,,,
15,,16.0,,,,
16,,12.0,,,,
17,,,,,,15.0
18,19.0,,,,,
19,,14.0,,,,
20,19.0,,,,,
21,19.0,,,,,
22,,,,,,9.0
23,21.0,,,,,
24,,,,,,9.0
25,,12.0,,,,
26,,,,,12.0,
27,,,,,16.0,
28,,,,,,17.0
29,9.0,,,,,
30,,,,,20.0,
31,,,,,,19.0
32,,10.0,,,,
33,9.0,,,,,
34,9.0,,,,,
35,23.0,,,,,
36,,24.0,,,,
37,,10.0,,,,
38,9.0,,,,,
39,9.0,,,,,
40,17.0,,,,,
41,,20.0,,,,
42,,,,,12.0,
43,,10.0,,,,
44,9.0,,,,,
45,9.0,,,,,
46,9.0,,,,,
47,9.0,,,,,
48,,14.0,,,,
49,9.0,,,,,
