,FLAT_started_FLAT_won,UCT_6000_started_FLAT_won,FLAT_started_Tie,UCT_6000_started_Tie,FLAT_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,10.0,,,,
1,,,,,,21.0
2,,,,,14.0,
3,9.0,,,,,
4,9.0,,,,,
5,,22.0,,,,
6,,10.0,,,,
7,9.0,,,,,
8,,,,,14.0,
9,,,,,,17.0
10,9.0,,,,,
11,9.0,,,,,
12,,,,,20.0,
13,9.0,,,,,
14,9.0,,,,,
15,,,,,,15.0
16,,,,,12.0,
17,,,,,,19.0
18,9.0,,,,,
19,,18.0,,,,
20,17.0,,,,,
21,,,,,,15.0
22,,,,,,17.0
23,,,,,,17.0
24,,16.0,,,,
25,,12.0,,,,
26,,,,,12.0,
27,,,,,,9.0
28,9.0,,,,,
29,,,,,,17.0
30,,,,,14.0,
31,,,,,,17.0
32,,14.0,,,,
33,9.0,,,,,
34,,12.0,,,,
35,,,,,,19.0
36,,12.0,,,,
37,,,,,14.0,
38,,10.0,,,,
39,,,,,,17.0
40,9.0,,,,,
41,9.0,,,,,
42,,,,,,13.0
43,,,,,,9.0
44,15.0,,,,,
45,,10.0,,,,
46,,,,,,17.0
47,,20.0,,,,
48,,22.0,,,,
49,,10.0,,,,
