,ZERO_v1_started_ZERO_v1_won,UCT_2000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_2000_started_Tie,ZERO_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,15.0,,,,,
1,25.0,,,,,
2,,10.0,,,,
3,,,,,12.0,
4,,,,,16.0,
5,9.0,,,,,
6,,,,,22.0,
7,,,,,22.0,
8,,,,,14.0,
9,,10.0,,,,
10,,10.0,,,,
11,,,,,12.0,
12,,12.0,,,,
13,,,,,20.0,
14,,,,,,25.0
15,,,,,10.0,
16,,10.0,,,,
17,,10.0,,,,
18,,10.0,,,,
19,,12.0,,,,
20,11.0,,,,,
21,,12.0,,,,
22,,20.0,,,,
23,,10.0,,,,
24,,,,,,17.0
25,,,,,,11.0
26,11.0,,,,,
27,,10.0,,,,
28,17.0,,,,,
29,,10.0,,,,
30,,,,,28.0,
31,,,,,,9.0
32,15.0,,,,,
33,,,,,,19.0
34,13.0,,,,,
35,,10.0,,,,
36,11.0,,,,,
37,15.0,,,,,
38,,10.0,,,,
39,13.0,,,,,
40,15.0,,,,,
41,17.0,,,,,
42,,,,,,17.0
43,15.0,,,,,
44,17.0,,,,,
45,,,,,16.0,
46,13.0,,,,,
47,,,,,,27.0
48,27.0,,,,,
49,15.0,,,,,
